"","GSM230349","GSM230350","GSM230351","GSM230352","GSM230353","GSM230354","GSM230355","GSM230356","GSM230357","GSM230358","GSM230359","GSM230360"
"ABI3",4.83936045623223,4.94220403697199,4.95416060696082,5.01379194386583,5.15139184244834,5.19988846004629,5.30102412547336,5.05023248633472,5.57577459760144,5.03454811545002,5.44578685905409,5.16615197450483
"ABI3BP",1.92647299344783,1.94983299369071,2.04746558390705,2.0730878745941,2.05243815189981,2.02508153788533,2.01534951172584,2.00548469498631,1.92178456694207,1.92434378799133,1.9163465643957,1.91009387468733
"ABITRAM",6.08312253192625,5.97113119200389,5.94822413412911,6.25778354699942,6.12483874867276,6.13131770462991,6.15694642874342,6.26419164660825,6.25588818095997,6.46871140556308,6.22627146933384,6.2791421491735
"ABL1",7.07830957981342,6.86938434795696,6.91093873099836,6.76412066785544,6.8656960086949,6.72234479526497,6.9454889478067,6.71238940786031,6.80677793427786,6.92629950506056,6.97659753783953,6.94855735048801
"ABL2",5.71032801639475,5.69665002684432,5.66522977088282,4.88509650931088,4.89319965886995,4.88794274144922,5.15931118036501,5.08583726643108,4.6902326625189,4.99545701417549,5.10834629663188,4.81597443924805
"ABLIM1",2.63194449409751,2.80103197825813,2.76847257179073,2.73226339465312,2.72117782833178,2.77084762557568,2.71732389615182,2.75443030190386,2.67285073162396,2.73399554106532,2.82626458436587,2.67881113674965
"ABLIM2",3.1533073057745,3.38453790077721,3.23370498904859,3.25007503066662,3.31924653923443,3.40071573820944,3.31501700567319,3.37452412086548,3.33254213944167,3.17243274739248,3.29543812526995,3.44945264223845
"ABLIM3",3.43379103092157,3.6029819090961,3.28620044910773,3.29863893065992,3.10454574726215,3.01682319539386,3.50697058476072,3.39116078281265,3.29091265001915,3.32262518614755,3.28554210066761,3.19895409842948
"ABO",2.88287315494859,2.87431656449223,2.73738117582814,2.64095848223047,2.84103850909617,2.93245568730528,2.72121929708726,2.85890747747438,2.90850914747332,2.59124270159826,2.71028080117611,2.83655113322728
"ABR",5.56473494074266,5.5570503592037,5.65026148013101,5.411759726485,5.49180939085145,5.44040211049536,5.43139487157346,5.47461772306935,5.45849882785423,5.53459548058971,5.42714743269998,5.47853559288995
"ABRA",1.90315017705158,2.0233480323843,1.98787383324975,2.09771034368285,1.98788579477297,2.05667411266998,1.88380126537214,1.93653330035059,2.08660621449219,1.84704797741766,1.90643982978019,2.03911539171282
"ABRACL",8.68333058180062,8.84378523398363,8.9558121364876,9.26967819241267,9.2078251854543,9.27023417168015,9.24142310203248,9.01681776543671,9.2726073088823,9.02654931187677,9.06882730847092,9.09327006060084
